LOG_ID:001 | USER:guest | ACTION:LOGOUT | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:057 | USER:root | ACTION:UPDATE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:058 | USER:student_22 | ACTION:LOGOUT | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:059 | USER:dr_ozhan | ACTION:FAILED_ACCESS | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:060 | USER:student_22 | ACTION:DELETE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:061 | USER:dr_ozhan | ACTION:DELETE | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:062 | USER:admin | ACTION:UPDATE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:063 | USER:dr_ozhan | ACTION:UPDATE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:064 | USER:dr_ozhan | ACTION:LOGOUT | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:065 | USER:guest | ACTION:DELETE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:066 | USER:analyst_beta | ACTION:FAILED_ACCESS | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:067 | USER:analyst_beta | ACTION:LOGIN | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:068 | USER:dr_ozhan | ACTION:UPDATE | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:069 | USER:root | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:070 | USER:guest | ACTION:LOGIN | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:071 | USER:dr_ozhan | ACTION:DELETE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:072 | USER:analyst_beta | ACTION:FAILED_ACCESS | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:073 | USER:root | ACTION:DELETE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:074 | USER:admin | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:075 | USER:guest | ACTION:FAILED_ACCESS | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:076 | USER:root | ACTION:DELETE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:077 | USER:analyst_beta | ACTION:LOGIN | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:078 | USER:guest | ACTION:DELETE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:079 | USER:admin | ACTION:FAILED_ACCESS | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:080 | USER:analyst_beta | ACTION:LOGIN | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:081 | USER:dr_ozhan | ACTION:UPDATE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:082 | USER:guest | ACTION:LOGIN | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:083 | USER:dr_ozhan | ACTION:LOGIN | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:084 | USER:dr_ozhan | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:085 | USER:dr_ozhan | ACTION:UPDATE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:086 | USER:student_22 | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:087 | USER:dr_ozhan | ACTION:FAILED_ACCESS | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:088 | USER:admin | ACTION:DELETE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:089 | USER:guest | ACTION:FAILED_ACCESS | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:090 | USER:guest | ACTION:LOGOUT | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:091 | USER:admin | ACTION:DELETE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:092 | USER:guest | ACTION:LOGOUT | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:093 | USER:admin | ACTION:FAILED_ACCESS | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:094 | USER:analyst_beta | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:095 | USER:admin | ACTION:LOGOUT | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:096 | USER:admin | ACTION:DELETE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:097 | USER:root | ACTION:LOGIN | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:098 | USER:admin | ACTION:FAILED_ACCESS | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:099 | USER:analyst_beta | ACTION:LOGOUT | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:100 | USER:admin | ACTION:LOGIN | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:101 | USER:dr_ozhan | ACTION:LOGOUT | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:102 | USER:analyst_beta | ACTION:UPDATE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:103 | USER:dr_ozhan | ACTION:DELETE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:104 | USER:student_22 | ACTION:FAILED_ACCESS | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:105 | USER:admin | ACTION:FAILED_ACCESS | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:106 | USER:admin | ACTION:DELETE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:107 | USER:guest | ACTION:DELETE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:108 | USER:dr_ozhan | ACTION:UPDATE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:109 | USER:guest | ACTION:LOGIN | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:110 | USER:student_22 | ACTION:DELETE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:111 | USER:guest | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:112 | USER:guest | ACTION:LOGIN | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:113 | USER:student_22 | ACTION:DELETE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:114 | USER:student_22 | ACTION:LOGIN | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:115 | USER:analyst_beta | ACTION:DELETE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:116 | USER:dr_ozhan | ACTION:DELETE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:117 | USER:student_22 | ACTION:LOGIN | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:118 | USER:analyst_beta | ACTION:LOGIN | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:119 | USER:student_22 | ACTION:UPDATE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:120 | USER:guest | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:121 | USER:root | ACTION:FAILED_ACCESS | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:122 | USER:guest | ACTION:FAILED_ACCESS | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:123 | USER:analyst_beta | ACTION:DELETE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:124 | USER:dr_ozhan | ACTION:LOGIN | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:125 | USER:root | ACTION:UPDATE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:126 | USER:analyst_beta | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:127 | USER:analyst_beta | ACTION:FAILED_ACCESS | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:128 | USER:admin | ACTION:LOGOUT | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:129 | USER:dr_ozhan | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:130 | USER:analyst_beta | ACTION:LOGIN | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:131 | USER:guest | ACTION:FAILED_ACCESS | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:132 | USER:analyst_beta | ACTION:LOGIN | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:133 | USER:root | ACTION:LOGIN | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:134 | USER:dr_ozhan | ACTION:LOGIN | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:135 | USER:analyst_beta | ACTION:UPDATE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:136 | USER:guest | ACTION:UPDATE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:137 | USER:dr_ozhan | ACTION:UPDATE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:138 | USER:guest | ACTION:DELETE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:139 | USER:student_22 | ACTION:LOGOUT | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:140 | USER:root | ACTION:LOGOUT | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:141 | USER:guest | ACTION:LOGOUT | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:142 | USER:analyst_beta | ACTION:FAILED_ACCESS | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:143 | USER:student_22 | ACTION:UPDATE | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:144 | USER:student_22 | ACTION:UPDATE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:145 | USER:root | ACTION:FAILED_ACCESS | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:146 | USER:root | ACTION:DELETE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:147 | USER:dr_ozhan | ACTION:LOGIN | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:148 | USER:analyst_beta | ACTION:UPDATE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:149 | USER:analyst_beta | ACTION:FAILED_ACCESS | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:150 | USER:student_22 | ACTION:DELETE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:151 | USER:guest | ACTION:FAILED_ACCESS | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:152 | USER:admin | ACTION:UPDATE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:153 | USER:dr_ozhan | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:154 | USER:dr_ozhan | ACTION:UPDATE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:155 | USER:analyst_beta | ACTION:LOGOUT | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:156 | USER:analyst_beta | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:157 | USER:student_22 | ACTION:LOGIN | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:158 | USER:root | ACTION:LOGIN | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:159 | USER:analyst_beta | ACTION:DELETE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:160 | USER:guest | ACTION:UPDATE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:161 | USER:guest | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:162 | USER:dr_ozhan | ACTION:FAILED_ACCESS | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:163 | USER:root | ACTION:FAILED_ACCESS | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:164 | USER:root | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:165 | USER:dr_ozhan | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:166 | USER:analyst_beta | ACTION:FAILED_ACCESS | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:167 | USER:guest | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:168 | USER:analyst_beta | ACTION:FAILED_ACCESS | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:169 | USER:dr_ozhan | ACTION:UPDATE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:170 | USER:dr_ozhan | ACTION:LOGIN | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:171 | USER:guest | ACTION:LOGOUT | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:172 | USER:analyst_beta | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:173 | USER:guest | ACTION:FAILED_ACCESS | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:174 | USER:root | ACTION:UPDATE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:175 | USER:dr_ozhan | ACTION:FAILED_ACCESS | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:176 | USER:analyst_beta | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:177 | USER:analyst_beta | ACTION:DELETE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:178 | USER:admin | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:179 | USER:guest | ACTION:LOGIN | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:180 | USER:analyst_beta | ACTION:LOGIN | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:181 | USER:guest | ACTION:UPDATE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:182 | USER:guest | ACTION:LOGOUT | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:183 | USER:admin | ACTION:DELETE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:184 | USER:admin | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:185 | USER:student_22 | ACTION:DELETE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:186 | USER:analyst_beta | ACTION:DELETE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:187 | USER:dr_ozhan | ACTION:FAILED_ACCESS | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:188 | USER:analyst_beta | ACTION:LOGOUT | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:189 | USER:analyst_beta | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:190 | USER:guest | ACTION:DELETE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:191 | USER:admin | ACTION:LOGIN | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:192 | USER:student_22 | ACTION:LOGIN | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:193 | USER:student_22 | ACTION:LOGIN | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:194 | USER:student_22 | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:195 | USER:guest | ACTION:LOGIN | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:196 | USER:analyst_beta | ACTION:DELETE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:197 | USER:analyst_beta | ACTION:FAILED_ACCESS | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:198 | USER:guest | ACTION:UPDATE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:199 | USER:guest | ACTION:UPDATE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:200 | USER:student_22 | ACTION:LOGIN | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:201 | USER:analyst_beta | ACTION:UPDATE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:202 | USER:root | ACTION:UPDATE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:203 | USER:analyst_beta | ACTION:LOGIN | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:204 | USER:root | ACTION:LOGIN | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:205 | USER:admin | ACTION:FAILED_ACCESS | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:206 | USER:analyst_beta | ACTION:LOGOUT | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:207 | USER:student_22 | ACTION:LOGOUT | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:208 | USER:admin | ACTION:FAILED_ACCESS | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:209 | USER:guest | ACTION:DELETE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:210 | USER:guest | ACTION:UPDATE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:211 | USER:analyst_beta | ACTION:LOGOUT | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:212 | USER:root | ACTION:DELETE | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:213 | USER:analyst_beta | ACTION:LOGIN | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:214 | USER:guest | ACTION:UPDATE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:215 | USER:student_22 | ACTION:UPDATE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:216 | USER:root | ACTION:UPDATE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:217 | USER:analyst_beta | ACTION:UPDATE | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:218 | USER:root | ACTION:DELETE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:219 | USER:analyst_beta | ACTION:UPDATE | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:220 | USER:student_22 | ACTION:FAILED_ACCESS | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:221 | USER:root | ACTION:LOGIN | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:222 | USER:guest | ACTION:DELETE | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:223 | USER:root | ACTION:UPDATE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:224 | USER:guest | ACTION:LOGOUT | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:225 | USER:guest | ACTION:LOGIN | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:226 | USER:student_22 | ACTION:LOGOUT | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:227 | USER:admin | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:228 | USER:root | ACTION:DELETE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:229 | USER:analyst_beta | ACTION:DELETE | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:230 | USER:admin | ACTION:FAILED_ACCESS | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:231 | USER:analyst_beta | ACTION:LOGIN | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:232 | USER:analyst_beta | ACTION:FAILED_ACCESS | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:233 | USER:dr_ozhan | ACTION:LOGIN | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:234 | USER:guest | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:235 | USER:guest | ACTION:LOGOUT | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:236 | USER:root | ACTION:DELETE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:237 | USER:student_22 | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:238 | USER:admin | ACTION:DELETE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:239 | USER:root | ACTION:LOGOUT | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:240 | USER:root | ACTION:FAILED_ACCESS | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:241 | USER:dr_ozhan | ACTION:FAILED_ACCESS | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:242 | USER:guest | ACTION:DELETE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:243 | USER:analyst_beta | ACTION:LOGIN | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:244 | USER:admin | ACTION:LOGIN | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:245 | USER:student_22 | ACTION:UPDATE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:246 | USER:guest | ACTION:FAILED_ACCESS | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:247 | USER:student_22 | ACTION:LOGIN | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:248 | USER:analyst_beta | ACTION:UPDATE | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:249 | USER:guest | ACTION:LOGIN | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:250 | USER:student_22 | ACTION:UPDATE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:251 | USER:student_22 | ACTION:LOGIN | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:252 | USER:root | ACTION:UPDATE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:253 | USER:analyst_beta | ACTION:DELETE | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:254 | USER:dr_ozhan | ACTION:UPDATE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:255 | USER:root | ACTION:DELETE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:256 | USER:dr_ozhan | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:257 | USER:analyst_beta | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:258 | USER:admin | ACTION:DELETE | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:259 | USER:admin | ACTION:FAILED_ACCESS | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:260 | USER:dr_ozhan | ACTION:FAILED_ACCESS | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:261 | USER:analyst_beta | ACTION:LOGIN | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:262 | USER:admin | ACTION:UPDATE | IP:172.16.254.1 | STATUS:old_v1
LOG_ID:263 | USER:dr_ozhan | ACTION:LOGIN | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:264 | USER:analyst_beta | ACTION:UPDATE | IP:10.0.0.15 | STATUS:old_v1
LOG_ID:265 | USER:student_22 | ACTION:LOGIN | IP:8.8.8.8 | STATUS:old_v1
LOG_ID:266 | USER:student_22 | ACTION:LOGIN | IP:192.168.1.1 | STATUS:old_v1
LOG_ID:267 | USER:root | ACTION:DELETE | IP:127.0.0.1 | STATUS:old_v1
LOG_ID:268 | USER:root | ACTION:LOGOUT | IP:192.168.1.1 | STATUS:old_v1
