Time,Target,Current,Error
10:00:095,500,498,-2
10:00:096,500,497,-3
10:00:097,500,504,4
10:00:098,500,504,4
10:00:099,500,495,-5
10:00:100,500,501,1
10:00:101,500,503,3
10:00:102,500,504,4
10:00:103,500,502,2
10:00:104,500,500,0
10:00:105,500,505,5
10:00:106,500,495,-5
10:00:107,500,496,-4
10:00:108,500,503,3
10:00:109,500,502,2
10:00:110,500,502,2
10:00:111,500,497,-3
10:00:112,500,504,4
10:00:113,500,504,4
10:00:114,500,497,-3
10:00:115,500,495,-5
10:00:116,500,496,-4
10:00:117,500,504,4
10:00:118,500,501,1
10:00:119,500,495,-5
10:00:120,500,501,1
10:00:121,500,502,2
10:00:122,500,498,-2
10:00:123,500,500,0
10:00:124,500,503,3
10:00:125,500,504,4
10:00:126,500,505,5
10:00:127,500,503,3
10:00:128,500,500,0
10:00:129,500,502,2
10:00:130,500,496,-4
10:00:131,500,498,-2
10:00:132,500,500,0
10:00:133,500,498,-2
10:00:134,500,501,1
10:00:135,500,501,1
10:00:136,500,502,2
10:00:137,500,503,3
10:00:138,500,501,1
10:00:139,500,502,2
10:00:140,500,498,-2
10:00:141,500,499,-1
10:00:142,500,499,-1
10:00:143,500,505,5
10:00:144,500,495,-5
10:00:145,500,505,5
10:00:146,500,503,3
10:00:147,500,504,4
10:00:148,500,501,1
10:00:149,500,496,-4
10:00:150,500,505,5
10:00:151,500,505,5
10:00:152,500,501,1
10:00:153,500,503,3
10:00:154,500,495,-5
10:00:155,500,503,3
10:00:156,500,503,3
10:00:157,500,498,-2
10:00:158,500,499,-1
10:00:159,500,505,5
10:00:160,500,505,5
10:00:161,500,505,5
10:00:162,500,502,2
10:00:163,500,499,-1
10:00:164,500,505,5
10:00:165,500,505,5
10:00:166,500,504,4
10:00:167,500,501,1
10:00:168,500,501,1
10:00:169,500,497,-3
10:00:170,500,497,-3
10:00:171,500,503,3
10:00:172,500,497,-3
10:00:173,500,499,-1
10:00:174,500,501,1
10:00:175,500,505,5
10:00:176,500,496,-4
10:00:177,500,504,4
10:00:178,500,502,2
10:00:179,500,504,4
10:00:180,500,495,-5
10:00:181,500,499,-1
10:00:182,500,495,-5
10:00:183,500,500,0
10:00:184,500,502,2
10:00:185,500,503,3
10:00:186,500,495,-5
10:00:187,500,499,-1
10:00:188,500,504,4
10:00:189,500,495,-5
10:00:190,500,505,5
10:00:191,500,501,1
10:00:192,500,496,-4
10:00:193,500,504,4
10:00:194,500,501,1
10:00:195,500,496,-4
10:00:196,500,498,-2
10:00:197,500,500,0
10:00:198,500,505,5
10:00:199,500,495,-5
10:00:200,500,502,2
10:00:201,500,505,5
10:00:202,500,501,1
10:00:203,500,502,2
10:00:204,500,499,-1
10:00:205,500,499,-1
10:00:206,500,504,4
10:00:207,500,496,-4
10:00:208,500,500,0
10:00:209,500,505,5
10:00:210,500,504,4
10:00:211,500,505,5
10:00:212,500,495,-5
10:00:213,500,500,0
10:00:214,500,497,-3
10:00:215,500,496,-4
10:00:216,500,504,4
10:00:217,500,499,-1
10:00:218,500,496,-4
10:00:219,500,498,-2
10:00:220,500,496,-4
10:00:221,500,495,-5
10:00:222,500,503,3
10:00:223,500,499,-1
10:00:224,500,501,1
10:00:225,500,502,2
10:00:226,500,497,-3
10:00:227,500,502,2
10:00:228,500,500,0
10:00:229,500,499,-1
10:00:230,500,503,3
10:00:231,500,498,-2
10:00:232,500,503,3
10:00:233,500,502,2
10:00:234,500,505,5
10:00:235,500,497,-3
10:00:236,500,501,1
10:00:237,500,499,-1
10:00:238,500,496,-4
10:00:239,500,503,3
10:00:240,500,503,3
10:00:241,500,495,-5
10:00:242,500,504,4
10:00:243,500,503,3
10:00:244,500,504,4
10:00:245,500,501,1
10:00:246,500,504,4
10:00:247,500,500,0
10:00:248,500,500,0
10:00:249,500,502,2
10:00:250,500,496,-4
10:00:251,500,585,85
10:00:252,500,588,88
10:00:253,500,560,60
10:00:254,500,591,91
10:00:255,500,587,87
10:00:256,500,569,69
10:00:257,500,552,52
10:00:258,500,582,82
10:00:259,500,565,65
10:00:260,500,588,88
10:00:261,500,555,55
10:00:262,500,567,67
10:00:263,500,585,85
10:00:264,500,561,61
10:00:265,500,575,75
10:00:266,500,592,92
10:00:267,500,597,97
10:00:268,500,559,59
10:00:269,500,564,64
10:00:270,500,589,89
10:00:271,500,573,73
10:00:272,500,555,55
10:00:273,500,551,51
10:00:274,500,591,91
10:00:275,500,567,67
10:00:276,500,578,78
10:00:277,500,576,76
10:00:278,500,598,98
10:00:279,500,570,70
10:00:280,500,575,75
10:00:281,500,570,70
10:00:282,500,585,85
10:00:283,500,566,66
10:00:284,500,576,76
10:00:285,500,554,54
10:00:286,500,564,64
10:00:287,500,596,96
10:00:288,500,580,80
10:00:289,500,595,95
10:00:290,500,576,76
10:00:291,500,578,78
10:00:292,500,590,90
10:00:293,500,566,66
10:00:294,500,599,99
10:00:295,500,575,75
10:00:296,500,585,85
10:00:297,500,594,94
10:00:298,500,553,53
10:00:299,500,566,66
